NOME; COLUNAS; LINHAS; ALPHA; THETA; T LAB; T C2G
"data/atest.ppm"; 40; 40; 5; 0; 0.01; 0
"data/atest.ppm"; 40; 40; 10; 0; 0; 0.01
"data/atest.ppm"; 40; 40; 15; 0; 0; 0.01
"data/atest.ppm"; 40; 40; 20; 0; 0; 0
"data/atest.ppm"; 40; 40; 25; 0; 0; 0
"data/atest.ppm"; 40; 40; 5; 45; 0; 0.01
"data/atest.ppm"; 40; 40; 10; 45; 0; 0.01
"data/atest.ppm"; 40; 40; 15; 45; 0; 0
"data/atest.ppm"; 40; 40; 20; 45; 0; 0.01
"data/atest.ppm"; 40; 40; 25; 45; 0; 0.01
"data/atest.ppm"; 40; 40; 5; 90; 0; 0.01
"data/atest.ppm"; 40; 40; 10; 90; 0; 0
"data/atest.ppm"; 40; 40; 15; 90; 0.01; 0.01
"data/atest.ppm"; 40; 40; 20; 90; 0; 0.01
"data/atest.ppm"; 40; 40; 25; 90; 0; 0.01
"data/atest.ppm"; 40; 40; 5; 135; 0; 0.01
"data/atest.ppm"; 40; 40; 10; 135; 0.01; 0.01
"data/atest.ppm"; 40; 40; 15; 135; 0.01; 0.01
"data/atest.ppm"; 40; 40; 20; 135; 0; 0.01
"data/atest.ppm"; 40; 40; 25; 135; 0; 0.01
"data/atest.ppm"; 40; 40; 5; 180; 0; 0.01
"data/atest.ppm"; 40; 40; 10; 180; 0.01; 0.01
"data/atest.ppm"; 40; 40; 15; 180; 0; 0.01
"data/atest.ppm"; 40; 40; 20; 180; 0.01; 0.01
"data/atest.ppm"; 40; 40; 25; 180; 0; 0.01
"data/atest.ppm"; 40; 40; 5; 225; 0.01; 0.01
"data/atest.ppm"; 40; 40; 10; 225; 0.01; 0
"data/atest.ppm"; 40; 40; 15; 225; 0.01; 0.01
"data/atest.ppm"; 40; 40; 20; 225; 0; 0.01
"data/atest.ppm"; 40; 40; 25; 225; 0.01; 0.01
"data/atest.ppm"; 40; 40; 5; 270; 0.01; 0
"data/atest.ppm"; 40; 40; 10; 270; 0; 0.01
"data/atest.ppm"; 40; 40; 15; 270; 0; 0.01
"data/atest.ppm"; 40; 40; 20; 270; 0; 0.01
"data/atest.ppm"; 40; 40; 25; 270; 0.01; 0.01
"data/atest.ppm"; 40; 40; 5; 315; 0; 0.01
"data/atest.ppm"; 40; 40; 10; 315; 0; 0.01
"data/atest.ppm"; 40; 40; 15; 315; 0; 0.01
"data/atest.ppm"; 40; 40; 20; 315; 0.01; 0.01
"data/atest.ppm"; 40; 40; 25; 315; 0; 0.01
"data/car.ppm"; 125; 125; 5; 0; 0.01; 0.46
"data/car.ppm"; 125; 125; 10; 0; 0.02; 0.61
"data/car.ppm"; 125; 125; 15; 0; 0.01; 0.72
"data/car.ppm"; 125; 125; 20; 0; 0.02; 0.79
"data/car.ppm"; 125; 125; 25; 0; 0.01; 0.81
"data/car.ppm"; 125; 125; 5; 45; 0.01; 0.46
"data/car.ppm"; 125; 125; 10; 45; 0.01; 0.62
"data/car.ppm"; 125; 125; 15; 45; 0.01; 0.73
"data/car.ppm"; 125; 125; 20; 45; 0.01; 0.79
"data/car.ppm"; 125; 125; 25; 45; 0.02; 0.82
"data/car.ppm"; 125; 125; 5; 90; 0.01; 0.46
"data/car.ppm"; 125; 125; 10; 90; 0.02; 0.61
"data/car.ppm"; 125; 125; 15; 90; 0.01; 0.72
"data/car.ppm"; 125; 125; 20; 90; 0.02; 0.78
"data/car.ppm"; 125; 125; 25; 90; 0.01; 0.82
"data/car.ppm"; 125; 125; 5; 135; 0.02; 0.45
"data/car.ppm"; 125; 125; 10; 135; 0.02; 0.61
"data/car.ppm"; 125; 125; 15; 135; 0.02; 0.72
"data/car.ppm"; 125; 125; 20; 135; 0.01; 0.79
"data/car.ppm"; 125; 125; 25; 135; 0.01; 0.82
"data/car.ppm"; 125; 125; 5; 180; 0.01; 0.45
"data/car.ppm"; 125; 125; 10; 180; 0.01; 0.61
"data/car.ppm"; 125; 125; 15; 180; 0.01; 0.73
"data/car.ppm"; 125; 125; 20; 180; 0.01; 0.79
"data/car.ppm"; 125; 125; 25; 180; 0.01; 0.8
"data/car.ppm"; 125; 125; 5; 225; 0.01; 0.45
"data/car.ppm"; 125; 125; 10; 225; 0.01; 0.61
"data/car.ppm"; 125; 125; 15; 225; 0.01; 0.73
"data/car.ppm"; 125; 125; 20; 225; 0.01; 0.8
"data/car.ppm"; 125; 125; 25; 225; 0; 0.82
"data/car.ppm"; 125; 125; 5; 270; 0.01; 0.46
"data/car.ppm"; 125; 125; 10; 270; 0.01; 0.61
"data/car.ppm"; 125; 125; 15; 270; 0.02; 0.71
"data/car.ppm"; 125; 125; 20; 270; 0.01; 0.79
"data/car.ppm"; 125; 125; 25; 270; 0; 0.82
"data/car.ppm"; 125; 125; 5; 315; 0.01; 0.46
"data/car.ppm"; 125; 125; 10; 315; 0.01; 0.62
"data/car.ppm"; 125; 125; 15; 315; 0.01; 0.73
"data/car.ppm"; 125; 125; 20; 315; 0; 0.8
"data/car.ppm"; 125; 125; 25; 315; 0; 0.82
"data/isolum050.ppm"; 50; 50; 5; 0; 0; 0.02
"data/isolum050.ppm"; 50; 50; 10; 0; 0.01; 0.03
"data/isolum050.ppm"; 50; 50; 15; 0; 0.01; 0.03
"data/isolum050.ppm"; 50; 50; 20; 0; 0.01; 0.03
"data/isolum050.ppm"; 50; 50; 25; 0; 0; 0.03
"data/isolum050.ppm"; 50; 50; 5; 45; 0; 0.03
"data/isolum050.ppm"; 50; 50; 10; 45; 0; 0.02
"data/isolum050.ppm"; 50; 50; 15; 45; 0.01; 0.02
"data/isolum050.ppm"; 50; 50; 20; 45; 0.01; 0.02
"data/isolum050.ppm"; 50; 50; 25; 45; 0; 0.03
"data/isolum050.ppm"; 50; 50; 5; 90; 0; 0.03
"data/isolum050.ppm"; 50; 50; 10; 90; 0; 0.03
"data/isolum050.ppm"; 50; 50; 15; 90; 0.01; 0.03
"data/isolum050.ppm"; 50; 50; 20; 90; 0; 0.03
"data/isolum050.ppm"; 50; 50; 25; 90; 0; 0.03
"data/isolum050.ppm"; 50; 50; 5; 135; 0; 0.03
"data/isolum050.ppm"; 50; 50; 10; 135; 0; 0.03
"data/isolum050.ppm"; 50; 50; 15; 135; 0; 0.03
"data/isolum050.ppm"; 50; 50; 20; 135; 0; 0.03
"data/isolum050.ppm"; 50; 50; 25; 135; 0; 0.03
"data/isolum050.ppm"; 50; 50; 5; 180; 0; 0.03
"data/isolum050.ppm"; 50; 50; 10; 180; 0; 0.03
"data/isolum050.ppm"; 50; 50; 15; 180; 0; 0.03
"data/isolum050.ppm"; 50; 50; 20; 180; 0; 0.03
"data/isolum050.ppm"; 50; 50; 25; 180; 0; 0.03
"data/isolum050.ppm"; 50; 50; 5; 225; 0; 0.03
"data/isolum050.ppm"; 50; 50; 10; 225; 0; 0.03
"data/isolum050.ppm"; 50; 50; 15; 225; 0; 0.03
"data/isolum050.ppm"; 50; 50; 20; 225; 0.01; 0.02
"data/isolum050.ppm"; 50; 50; 25; 225; 0.01; 0.03
"data/isolum050.ppm"; 50; 50; 5; 270; 0; 0.02
"data/isolum050.ppm"; 50; 50; 10; 270; 0; 0.03
"data/isolum050.ppm"; 50; 50; 15; 270; 0.01; 0.03
"data/isolum050.ppm"; 50; 50; 20; 270; 0; 0.03
"data/isolum050.ppm"; 50; 50; 25; 270; 0; 0.03
"data/isolum050.ppm"; 50; 50; 5; 315; 0; 0.03
"data/isolum050.ppm"; 50; 50; 10; 315; 0; 0.03
"data/isolum050.ppm"; 50; 50; 15; 315; 0.01; 0.03
"data/isolum050.ppm"; 50; 50; 20; 315; 0; 0.03
"data/isolum050.ppm"; 50; 50; 25; 315; 0; 0.03
"data/isolum100.ppm"; 100; 100; 5; 0; 0.01; 0.32
"data/isolum100.ppm"; 100; 100; 10; 0; 0.01; 0.32
"data/isolum100.ppm"; 100; 100; 15; 0; 0.01; 0.33
"data/isolum100.ppm"; 100; 100; 20; 0; 0.01; 0.33
"data/isolum100.ppm"; 100; 100; 25; 0; 0.01; 0.32
"data/isolum100.ppm"; 100; 100; 5; 45; 0.01; 0.31
"data/isolum100.ppm"; 100; 100; 10; 45; 0; 0.32
"data/isolum100.ppm"; 100; 100; 15; 45; 0; 0.32
"data/isolum100.ppm"; 100; 100; 20; 45; 0; 0.32
"data/isolum100.ppm"; 100; 100; 25; 45; 0.01; 0.32
"data/isolum100.ppm"; 100; 100; 5; 90; 0.01; 0.32
"data/isolum100.ppm"; 100; 100; 10; 90; 0; 0.33
"data/isolum100.ppm"; 100; 100; 15; 90; 0.01; 0.32
"data/isolum100.ppm"; 100; 100; 20; 90; 0; 0.33
"data/isolum100.ppm"; 100; 100; 25; 90; 0; 0.33
"data/isolum100.ppm"; 100; 100; 5; 135; 0.01; 0.32
"data/isolum100.ppm"; 100; 100; 10; 135; 0; 0.32
"data/isolum100.ppm"; 100; 100; 15; 135; 0.01; 0.32
"data/isolum100.ppm"; 100; 100; 20; 135; 0.01; 0.32
"data/isolum100.ppm"; 100; 100; 25; 135; 0.01; 0.31
"data/isolum100.ppm"; 100; 100; 5; 180; 0.01; 0.32
"data/isolum100.ppm"; 100; 100; 10; 180; 0; 0.32
"data/isolum100.ppm"; 100; 100; 15; 180; 0.01; 0.32
"data/isolum100.ppm"; 100; 100; 20; 180; 0.01; 0.32
"data/isolum100.ppm"; 100; 100; 25; 180; 0.01; 0.32
"data/isolum100.ppm"; 100; 100; 5; 225; 0.01; 0.33
"data/isolum100.ppm"; 100; 100; 10; 225; 0.01; 0.32
"data/isolum100.ppm"; 100; 100; 15; 225; 0.01; 0.32
"data/isolum100.ppm"; 100; 100; 20; 225; 0; 0.32
"data/isolum100.ppm"; 100; 100; 25; 225; 0.01; 0.32
"data/isolum100.ppm"; 100; 100; 5; 270; 0; 0.32
"data/isolum100.ppm"; 100; 100; 10; 270; 0.01; 0.32
"data/isolum100.ppm"; 100; 100; 15; 270; 0.01; 0.32
"data/isolum100.ppm"; 100; 100; 20; 270; 0; 0.33
"data/isolum100.ppm"; 100; 100; 25; 270; 0.01; 0.32
"data/isolum100.ppm"; 100; 100; 5; 315; 0.01; 0.32
"data/isolum100.ppm"; 100; 100; 10; 315; 0; 0.32
"data/isolum100.ppm"; 100; 100; 15; 315; 0.01; 0.32
"data/isolum100.ppm"; 100; 100; 20; 315; 0; 0.32
"data/isolum100.ppm"; 100; 100; 25; 315; 0; 0.32
"data/isolum200.ppm"; 200; 200; 5; 0; 0.02; 5.27
"data/isolum200.ppm"; 200; 200; 10; 0; 0.03; 5.22
"data/isolum200.ppm"; 200; 200; 15; 0; 0.02; 5.25
"data/isolum200.ppm"; 200; 200; 20; 0; 0.02; 5.26
"data/isolum200.ppm"; 200; 200; 25; 0; 0.02; 5.3
"data/isolum200.ppm"; 200; 200; 5; 45; 0.02; 5.27
"data/isolum200.ppm"; 200; 200; 10; 45; 0.02; 5.26
"data/isolum200.ppm"; 200; 200; 15; 45; 0.01; 5.25
"data/isolum200.ppm"; 200; 200; 20; 45; 0.02; 5.26
"data/isolum200.ppm"; 200; 200; 25; 45; 0.02; 5.26
"data/isolum200.ppm"; 200; 200; 5; 90; 0.02; 5.24
"data/isolum200.ppm"; 200; 200; 10; 90; 0.02; 5.28
"data/isolum200.ppm"; 200; 200; 15; 90; 0.02; 5.25
"data/isolum200.ppm"; 200; 200; 20; 90; 0.02; 5.27
"data/isolum200.ppm"; 200; 200; 25; 90; 0.02; 5.23
"data/isolum200.ppm"; 200; 200; 5; 135; 0.02; 5.3
"data/isolum200.ppm"; 200; 200; 10; 135; 0.02; 5.23
"data/isolum200.ppm"; 200; 200; 15; 135; 0.01; 5.24
"data/isolum200.ppm"; 200; 200; 20; 135; 0.02; 5.28
"data/isolum200.ppm"; 200; 200; 25; 135; 0.02; 5.26
"data/isolum200.ppm"; 200; 200; 5; 180; 0.01; 5.26
"data/isolum200.ppm"; 200; 200; 10; 180; 0.02; 5.27
"data/isolum200.ppm"; 200; 200; 15; 180; 0.02; 5.24
"data/isolum200.ppm"; 200; 200; 20; 180; 0.02; 5.29
"data/isolum200.ppm"; 200; 200; 25; 180; 0.02; 5.25
"data/isolum200.ppm"; 200; 200; 5; 225; 0.02; 5.25
"data/isolum200.ppm"; 200; 200; 10; 225; 0.02; 5.25
"data/isolum200.ppm"; 200; 200; 15; 225; 0.02; 5.23
"data/isolum200.ppm"; 200; 200; 20; 225; 0.02; 5.25
"data/isolum200.ppm"; 200; 200; 25; 225; 0.02; 5.26
"data/isolum200.ppm"; 200; 200; 5; 270; 0.01; 5.23
"data/isolum200.ppm"; 200; 200; 10; 270; 0.02; 5.27
"data/isolum200.ppm"; 200; 200; 15; 270; 0.02; 5.23
"data/isolum200.ppm"; 200; 200; 20; 270; 0.02; 5.23
"data/isolum200.ppm"; 200; 200; 25; 270; 0.02; 5.23
"data/isolum200.ppm"; 200; 200; 5; 315; 0.02; 5.28
"data/isolum200.ppm"; 200; 200; 10; 315; 0.02; 5.25
"data/isolum200.ppm"; 200; 200; 15; 315; 0.01; 5.25
"data/isolum200.ppm"; 200; 200; 20; 315; 0.02; 5.26
"data/isolum200.ppm"; 200; 200; 25; 315; 0.01; 5.26
"data/mapa.ppm"; 172; 220; 5; 0; 0.02; 3.25
"data/mapa.ppm"; 172; 220; 10; 0; 0.01; 4.64
"data/mapa.ppm"; 172; 220; 15; 0; 0.03; 4.63
"data/mapa.ppm"; 172; 220; 20; 0; 0.02; 4.69
"data/mapa.ppm"; 172; 220; 25; 0; 0.03; 4.65
"data/mapa.ppm"; 172; 220; 5; 45; 0.02; 3.23
"data/mapa.ppm"; 172; 220; 10; 45; 0.02; 4.65
"data/mapa.ppm"; 172; 220; 15; 45; 0.02; 4.66
"data/mapa.ppm"; 172; 220; 20; 45; 0.02; 4.68
"data/mapa.ppm"; 172; 220; 25; 45; 0.02; 4.68
"data/mapa.ppm"; 172; 220; 5; 90; 0.02; 3.24
"data/mapa.ppm"; 172; 220; 10; 90; 0.02; 4.64
